B99.L52 S6513 2011            	B	 9224036	Fate of philosophy / Arvydas Šliogeris ; translated from the Lithuanian by Robertas Beinartas.                                                                                                                                                               	Šliogeris, Arvydas. &nbsp;                                                                                                                                                                                                                                         	Hampton Press,  New York :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
B3317 .F69 2011               	B	 9224148	Nietzsche's enlightenment : the free-spirit trilogy of the middle period / Paul Franco.                                                                                                                                                                        	Franco, Paul, 1956- &nbsp;                                                                                                                                                                                                                                           	University of Chicago Press,  Chicago :  2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BF636.7.H86 S36 2012          	B	 9224082	Humanistic perspectives on contemporary counseling issues / Mark B. Scholl, A. Scott McGowan, and James T. Hansen.                                                                                                                                             	Scholl, Mark B. &nbsp;                                                                                                                                                                                                                                               	Routledge,  New York :  c2012.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BH301.C84 K478 2011           	B	 9224086	One and the many : contemporary collaborative art in a global context / Grant H. Kester.                                                                                                                                                                       	Kester, Grant H. &nbsp;                                                                                                                                                                                                                                              	Duke University Press,  Durham [N.C.] :  2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BL2525 .B88 2011              	B	 9224180	Religion in American life : a short history / Jon Butler, Grant Wacker, and Randall Balmer.                                                                                                                                                                    	Butler, Jon, 1940- &nbsp;                                                                                                                                                                                                                                            	Oxford University Press,  New York :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
BL2527.S67 R46 2011           	B	 9224187	Southern civil religions : imagining the good society in the post-Reconstruction Era / Arthur Remillard.                                                                                                                                                       	Remillard, Arthur. &nbsp;                                                                                                                                                                                                                                            	University of Georgia Press,  Athens :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BP161.2 .R53 2012             	B	 9224021	Muslims : their religious beliefs and practices / by Andrew Rippin.                                                                                                                                                                                            	Rippin, Andrew, 1950- &nbsp;                                                                                                                                                                                                                                         	Routledge,  Abingdon, Oxon ; New York :  2012.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
BP194.185 .M55 2012           	B	 9224146	Militancy and political violence in Shiism : trends and patterns / edited by Assaf Moghadam.                                                                                                                                                                   	&nbsp;                                                                                                                                                                                                                                                               	Routledge,  Milton Park, Abingdon, Oxon [England] ; New York :  c2012.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
BQ566 .M38 2011               	B	 9224083	Lovelorn Ghost and the Magical Monk : Practicing Buddhism in Modern Thailand / Justin Thomas McDaniel.                                                                                                                                                         	McDaniel, Justin Thomas. &nbsp;                                                                                                                                                                                                                                      	Columbia University Press,  New York :  ©2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
BR128.B8 D68 2011             	B	 9224028	Buddhist and Christian : an exploration of dual belonging / Rose Drew.                                                                                                                                                                                        	Drew, Rose. &nbsp;                                                                                                                                                                                                                                                   	Routledge,  Abingdon, Oxon ; New York :  2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
